# test name,category,real vulnerability,cwe
BenchmarkTest02408,xss,False,79
BenchmarkTest02417,weakrand,True,330
BenchmarkTest02439,weakrand,False,330
BenchmarkTest02449,sqli,True,89
BenchmarkTest02451,sqli,True,89
BenchmarkTest02465,pathtraver,True,22
BenchmarkTest02469,pathtraver,True,22
BenchmarkTest02482,xss,False,79
BenchmarkTest02485,xss,False,79
BenchmarkTest02487,xss,True,79
BenchmarkTest02488,xss,False,79
BenchmarkTest02489,xss,True,79
BenchmarkTest02490,xss,False,79
BenchmarkTest02491,xss,False,79
BenchmarkTest02492,xss,False,79
BenchmarkTest02507,securecookie,True,614
BenchmarkTest02513,cmdi,False,78
BenchmarkTest02524,trustbound,True,501
BenchmarkTest02530,sqli,True,89
BenchmarkTest02541,sqli,False,89
BenchmarkTest02542,sqli,True,89
BenchmarkTest02544,sqli,False,89
BenchmarkTest02548,crypto,True,327
BenchmarkTest02554,pathtraver,False,22
BenchmarkTest02568,pathtraver,False,22
BenchmarkTest02595,xss,True,79
BenchmarkTest02597,xss,True,79
BenchmarkTest02601,xss,False,79
BenchmarkTest02602,weakrand,True,330
BenchmarkTest02603,weakrand,True,330
BenchmarkTest02605,weakrand,True,330
BenchmarkTest02622,trustbound,True,501
BenchmarkTest02623,trustbound,True,501
BenchmarkTest02637,sqli,False,89
BenchmarkTest02644,sqli,True,89
BenchmarkTest02655,sqli,True,89
BenchmarkTest02663,crypto,True,327
BenchmarkTest02667,pathtraver,False,22
BenchmarkTest02669,pathtraver,False,22
BenchmarkTest02707,weakrand,True,330
BenchmarkTest02715,weakrand,False,330
BenchmarkTest02728,sqli,False,89
BenchmarkTest02732,sqli,False,89
